dir,q_waist,q_shoulder,q_elbow,q_wrist_angle,q_wrist_rotate,target_q_waist,target_q_shoulder,target_q_elbow,target_q_wrist_angle,target_q_wrist_rotate,measured_effort_waist,measured_effort_shoulder,measured_effort_elbow,measured_effort_wrist_angle,measured_effort_wrist_rotate,pwm_waist,pwm_shoulder,pwm_elbow,pwm_wrist_angle,pwm_wrist_rotate,tau_waist,tau_shoulder,tau_elbow,tau_wrist_angle,tau_wrist_rotate
-1.0,0.0,-1.5999419689178467,1.1535536050796509,0.3358193787553364,-0.021644049284612745,0.0,-1.6,1.2000000000000002,0.35,0.0,0.0,255.34539745454478,-139.25948672401637,-160.97403620008816,172.70672485655976,-6.631563150113023e-14,82.3394854498732,-45.16150265454162,-53.96486249915049,57.75975690817987,-1.7265953393657484e-19,0.32350705637593885,-0.662817582462922,-0.18359007500352817,0.00021144324081435426
1.0,1.5339808305725457e-05,-1.5784509563446045,1.2022881937026977,0.6151263117790222,-0.02164447007700801,0.0,-1.6,1.2000000000000002,0.6,0.0,-0.40350000858306884,65.90500064849853,-487.8651405334473,-403.5,172.40882888793945,-0.0818123054505076,18.912515390403623,-179.92833281068343,-133.28151974421647,57.75992992801512,-3.3765486134634987e-19,0.2995151990692361,-0.6811521246639255,-0.1858892294985188,0.00020673496255265868
-1.0,0.0,-1.6014759540557861,1.1537221327851923,0.5828361395890644,-0.02171703248044078,0.0,-1.6,1.2000000000000002,0.6,0.0,0.0,264.7584605699175,-132.88465521308814,-142.96628733431356,173.04659622706723,-6.627834465700325e-14,85.28968373868675,-46.73215939394413,-48.027507925666754,57.959503533669036,7.851075422715141e-20,0.31903453061507175,-0.6672148797109595,-0.18759560746164589,0.00021151469956040518
1.0,0.0015186410222668202,-1.1825304651260375,0.6036559975147248,-0.3850291967391968,-0.021583110895007848,0.0,-1.2000000000000002,0.6,-0.4,0.0,-13.234800720214844,72.42825147628784,-399.42466117858885,-255.5500030517578,172.26760375976562,-4.049709119796754,23.301562856791744,-146.95247107507706,-85.53167667885047,57.57916036909849,3.035766082959413e-20,0.27406455148179143,-0.5381326258988934,-0.09121938364917775,0.00012100988799106044
-1.0,0.0015339808305725455,-1.20464993713798,0.5641372246242194,-0.4081384968221857,-0.02149105297120174,0.0,-1.2000000000000002,0.6,-0.4,0.0,-13.450000762939453,289.2472086512343,-97.54524372877104,-48.12447112865662,172.16000366210938,-4.090615272521973,94.10131077278677,-33.28359737981068,-16.822842352431834,57.33054619559986,9.197445395803998e-20,0.3204173444161195,-0.5053998852317946,-0.07701079699814704,0.00010538725537153858
1.0,0.0015339808305725455,-1.1857671737670898,0.5982640253917109,-0.13250070577778025,-0.02155233554997843,0.0,-1.2000000000000002,0.6,-0.15000000000000002,0.0,-13.450000762939453,70.7728604329808,-384.8312120759085,-334.00329384107266,172.16000366210938,-4.090615272521973,23.744477508004977,-141.01553910863169,-110.7294128734132,57.50474931419295,2.0208662216240425e-19,0.24195401489045773,-0.5711175634925647,-0.12814105163851747,0.00015929365154347677
-1.0,0.0015339808305725455,-1.2026678215103055,0.5613201904237345,-0.16566993296146393,-0.021508288696482684,0.0,-1.2000000000000002,0.6,-0.15000000000000002,0.0,-13.450000762939453,245.7941342281194,-100.07068642605556,-45.72999954223633,172.16000366210938,-4.090615272521973,78.81876236439884,-35.234932950278676,-16.082584712845186,57.46132558458065,1.0679594433096916e-19,0.28129657954394455,-0.542429711367914,-0.11573785344169601,0.00014644829207583314
1.0,0.0015339808305725455,-1.1857671737670898,0.5985593318939209,0.11504856497049332,-0.02159845069050789,0.0,-1.2000000000000002,0.6,0.09999999999999998,0.0,-13.450000762939453,31.096400108337402,-407.4610285949707,-360.46002197265625,172.37520385742187,-4.090615272521973,15.969485281723664,-149.13850695667233,-119.0664217872336,57.63368445058128,-1.37287100090977e-19,0.211463116395718,-0.6000452927269528,-0.15787441700049276,0.00018909998983527052
-1.0,0.0015339808305725455,-1.2026563501358032,0.5601024436950683,0.0782330259680748,-0.021552431304007767,0.0,-1.2000000000000002,0.6,0.09999999999999998,0.0,-13.450000762939453,221.3601023864746,-136.3829997253418,-43.040000915527344,172.16000366210938,-4.090615272521973,70.62123652351062,-39.75463775934384,-15.884368321086088,57.42708892300439,2.9436088982981444e-19,0.24916720253393224,-0.5731298759428313,-0.14785925940828337,0.00017877442611452814
1.0,0.0015339808305725455,-1.1875622627582956,0.6005659918015233,0.3691402891177558,-0.021521809309236098,0.0,-1.2000000000000002,0.6,0.35,0.0,-13.450000762939453,38.4276102135268,-434.6218619985187,-421.82837708512596,172.16000366210938,-4.090615272521973,15.371463313581689,-159.68454456662712,-140.19239250614766,57.43280328578753,-5.3938718843928414e-20,0.19050907971601005,-0.6204151517268786,-0.17834386787199522,0.00020657802692731038
-1.0,0.0015339808305725455,-1.2041903352737426,0.5583421957492828,0.33594179153442383,-0.021583110895007848,0.0,-1.2000000000000002,0.6,0.35,0.0,-13.450000762939453,217.8967286682129,-116.66530342102051,-145.260009765625,172.22052871704102,-4.090615272521973,68.6684055751867,-40.894647525624066,-48.61430532053173,57.55443838368838,-1.0245710529988016e-19,0.22546737040503254,-0.5960484391897957,-0.1722057148280754,0.0002019301539143468
1.0,0.0015339808305725455,-1.187331800306037,0.6013205051422119,0.6151263117790222,-0.02162702369286252,0.0,-1.2000000000000002,0.6,0.6,0.0,-13.450000762939453,30.68144867095757,-449.4113594655241,-403.5,172.52941723084183,-4.090615272521973,11.938167305051868,-164.2264926837918,-133.96225019092108,57.719674420536776,1.366419591915252e-19,0.17929424263276428,-0.630216258338481,-0.18725084010352622,0.00021254167708881658
-1.0,0.0015339808305725455,-1.2041999226808549,0.5578436505794525,0.5828245389461517,-0.021508329391945153,0.0,-1.2000000000000002,0.6,0.6,0.0,-13.450000762939453,205.50928100585938,-126.86712299346924,-139.79930480957032,172.16000366210938,-4.090615272521973,64.9274971204049,-42.94107559676452,-46.84332499278185,57.43356451609128,2.0687932703739032e-19,0.21075703697073767,-0.6093272892258357,-0.18522773961569217,0.0002111523915552133
1.0,0.0015339808305725455,-1.1919356708074182,0.9095318883694662,-0.3880971372127533,-0.021661495143424407,0.0,-1.2000000000000002,0.9,-0.4,0.0,-13.450000762939453,68.00897812575437,-515.58669419116,-298.5899963378906,172.88539757889308,-4.090615272521973,21.787647454710594,-190.2847766632217,-99.12464260762857,57.79735240753145,-1.9518346226268381e-19,0.16977406188011826,-0.6467557682150495,-0.13476760175908917,0.00016683236617802297
-1.0,0.0015339808305725455,-1.2033447259664536,0.8590599715709686,-0.418728843331337,-0.021565853625070304,0.0,-1.2000000000000002,0.9,-0.4,0.0,-13.450000762939453,192.41906715393065,-167.27092386245727,-30.612199630737305,172.24070373535156,-4.090615272521973,59.90399821093365,-50.01350011563332,-11.152572332555803,57.508889401949254,2.8419649446276283e-19,0.19964729490971952,-0.6242663944135692,-0.1221223571883016,0.00015315113370788504
1.0,0.0015339808305725455,-1.1918877936183438,0.9004314518748746,-0.13359039060111053,-0.021537014905284257,0.0,-1.2000000000000002,0.9,-0.15000000000000002,0.0,-13.450000762939453,30.597491013125683,-466.43793707572564,-376.46567389670383,172.32120231028352,-4.090615272521973,14.862538243362282,-172.49979210738866,-125.03058049100473,57.51149611444633,-2.63944349106958e-21,0.14295777310033794,-0.6719578580868407,-0.16248196436163137,0.00019302605279277135
-1.0,0.0015339808305725455,-1.2032672439175152,0.8589986516592952,-0.1672039031982422,-0.021537014905284257,0.0,-1.2000000000000002,0.9,-0.15000000000000002,0.0,-13.450000762939453,164.8859217878287,-161.13134474164985,-91.352533623818,172.18687010347173,-4.090615272521973,51.41988217923432,-57.59673031123593,-31.004745975803026,57.46896282536853,1.9261169680984678e-19,0.1676561858001009,-0.6546428668252902,-0.15376404719641742,0.0001846351845158967
1.0,0.0015339808305725455,-1.192194207628419,0.9019041542107991,0.11965050548315048,-0.021567656194672602,0.0,-1.2000000000000002,0.9,0.09999999999999998,0.0,-13.450000762939453,30.392634659670712,-492.23979478471733,-430.4000244140625,172.37157688783796,-4.090615272521973,10.63417205596408,-181.04980740913732,-142.85645553130124,57.55553604960132,5.813543484176331e-20,0.12336877155062824,-0.6900872995490988,-0.18091041464207452,0.00020896921995236617
-1.0,0.0015339808305725455,-1.2038398550988434,0.8574187044198445,0.08590292930603027,-0.021510203777069456,0.0,-1.2000000000000002,0.9,0.09999999999999998,0.0,-13.450000762939453,154.0587552340885,-161.05074541756275,-150.63999938964844,172.16000366210938,-4.090615272521973,47.31496336184341,-58.70561641438361,-50.25025940790277,57.391184645576544,-1.482149037292918e-19,0.14546714271221803,-0.6755145388584768,-0.17568539647344092,0.00020427649684176283
